_passName,_successfulAttempts,_totalAttempts,_removedBytes
Functions.rmvUnusedParams,14,163,-138
Functions:inline,16,77,627
TypeFamilies.rmvUnusedParams,7,22,-53
TypeFamilies:apply,17,31562,-330
Typeclasses.rmvUnusedParams,3,39,-85
betaReduceExprs,12,14,-25
contexts,3,69,-65
etaReduceMatches,1,22,-4
expr2Undefined,190,3715,-1234
familyResultSig,7,19,-132
filterExprSubList,15,62,-476
formatting,6,6,-2705
handleMultiParams,0,96,0
inlineType,2,3,-11
localBinds,11,66,-292
mkExportsExplicit,3,3,406
pat2Wildcard,93,479,-279
pragmas,18,127,-304
rmvConArgs,3,67,-152
rmvConstructors,24,94,-417
rmvDecls,91,880,-4716
rmvExports,28,45,-360
rmvFunDeps,4,13,-110
rmvGuards,1,18,-20
rmvImports,8,48,-151
rmvMatches,41,280,-1087
rmvRHSs,1,355,-26
rmvSigs,104,202,-4799
rmvTyClMethods,4,49,-187
simplifyConDecl,14,73,-248
simplifyDeriving,0,10,0
simplifyDerivingClause,2,13,-14
simplifyExpr,36,1173,-523
simplifyType,77,306,-723
splitSigs,0,53,0
tyVarBndr,39,58,-572
type2Unit,103,2129,-315
type2WildCard,49,2718,-211
typefamilies:rmvEquations,8,23,-240
unqualImports,10,48,-188
